"business_id","date","score","result"
1,"20130606",NA,""
2,"20121015",NA,"G"
2,"20140207",NA,"G"
2,"20150424",NA,"G"
2,"20130531",NA,"G"
2,"20120504",NA,""
3,"20130612",NA,"G"
3,"20140304",NA,"G"
3,"20150122",NA,"G"
4,"20141024",NA,"Y"
4,"20141026",NA,"G"
5,"20150619",NA,"G"
6,"20131118",NA,""
6,"20140307",NA,"G"
6,"20141024",NA,"G"
6,"20150320",NA,"G"
6,"20120926",NA,"G"
7,"20121011",NA,"G"
7,"20131001",NA,"G"
7,"20140805",NA,"G"
7,"20150527",NA,""
7,"20160315",NA,"G"
7,"20130416",NA,"G"
8,"20121106",NA,"G"
8,"20130722",NA,"G"
8,"20131016",NA,"G"
8,"20141204",NA,"G"
8,"20130327",NA,"G"
9,"20130109",NA,"G"
9,"20131223",NA,"Y"
9,"20131230",NA,"G"
9,"20140708",NA,"G"
9,"20151103",NA,"G"
9,"20160331",NA,"G"
9,"20120730",NA,"R"
10,"20131113",NA,"y"
10,"20131121",NA,"g"
10,"20141209",NA,"G"
10,"20120924",NA,"G"
11,"20140414",NA,"G"
11,"20140903",NA,"G"
11,"20150818",NA,"G"
11,"20120710",NA,"G"
12,"20130710",NA,"G"
12,"20150305",NA,"G"
12,"20130408",NA,"G"
12,"20120822",NA,"G"
13,"20140205",NA,"G"
13,"20140806",NA,"Y"
13,"20151118",NA,"G"
13,"20160330",NA,"G"
13,"20130329",NA,"Y"
13,"20130411",NA,"G"
14,"20140721",NA,"G"
14,"20150930",NA,"G"
14,"20150930",NA,""
14,"20160126",NA,"G"
14,"20160331",NA,"G"
15,"20130227",NA,"G"
15,"20131029",NA,"G"
15,"20141103",NA,"G"
15,"20150609",NA,"G"
16,"20130109",NA,"G"
16,"20120601",NA,""
17,"20130102",NA,"G"
17,"20140102",NA,"G"
17,"20140710",NA,"G"
17,"20151029",NA,"G"
17,"20160318",NA,"G"
18,"20121017",NA,"G"
18,"20141112",NA,"G"
18,"20151013",NA,"G"
19,"20130412",NA,"G"
20,"20121106",NA,"G"
20,"20130722",NA,"G"
20,"20131022",NA,"G"
20,"20140728",NA,""
21,"20131015",NA,"G"
21,"20140522",NA,"G"
22,"20131015",NA,"G"
23,"20150429",NA,"G"
24,"20131226",NA,"G"
24,"20141125",NA,"G"
25,"20150306",NA,"G"
25,"20160503",NA,"G"
26,"20150610",NA,"G"
26,"20160218",NA,"Y"
26,"20160224",NA,"G"
27,"20140513",NA,"G"
27,"20150406",NA,"G"
28,"20140227",NA,"G"
28,"20151228",NA,"G"
29,"20140402",NA,"G"
29,"20151222",NA,"G"
30,"20140326",NA,"G"
30,"20150518",NA,"G"
30,"20130918",NA,"G"
31,"20130923",NA,"G"
31,"20140826",NA,"G"
31,"20151007",NA,"G"
