"business_id","name","address","city","state","latitude","longitude","phone_number"
"FA0009867","3RD & U CAFE","223 3RD ST","Davis","CA",38.5438447,-121.7462596,"+15307589800"
"FA0002415","40TH DISTRICT AGRICULTURAL","1125 EAST ST","Woodland","CA",38.664733,-121.763236,"+15304022222"
"FA0001963","7- ELEVEN 2235-14116D","525 L ST","Davis","CA",38.549182,-121.735076,"+15307566421"
"FA0002411","7-ELEVEN #14093 - FOOD","1552 JEFFERSON BLVD","West Sacramento","CA",38.5677578,-121.525774,"+19163716133"
"FA0001961","7-ELEVEN #21433 - FOOD","1229 E MAIN ST","Woodland","CA",38.6778917,-121.7649921,"+15306666288"
"FA0002267","7-ELEVEN #33646 - FOOD","4010 LAKE CT","West Sacramento","CA",38.5727517,-121.5789555,""
"FA0002174","7-ELEVEN STORE #15758","301 COTTONWOOD ST","Woodland","CA",38.6787146,-121.7928151,"+15306662622"
"FA0017510","A TASTE TO DINE FOR","1516 6TH ST","Lincoln","CA",38.8933279,-121.304712,"+19164348158"
"FA0014013","AFC SUSHI / HOT WOK @ RALEY'S #206","367 W MAIN ST","Woodland","CA",38.6764832,-121.8010487,"+15306661156"
"FA0014015","AFC SUSHI / HOT WOK @ RALEY'S #448","1601 W CAPITOL AVE","West Sacramento","CA",38.5797694,-121.5291665,"+19163723000"
"FA0014014","AFC SUSHI @ BEL AIR #526","1885 E GIBSON RD","Woodland","CA",38.6639722,-121.7397297,"+15306684422"
"FA0010191","AFC SUSHI @ SAFEWAY #1205","1451 W COVELL BLVD","Davis","CA",38.5621536,-121.7665061,"+15307574540"
"FA0010190","AFC SUSHI @ SAFEWAY #1561","2121 COWELL BLVD","Davis","CA",38.5411658,-121.7250797,"+15307928500"
"FA0010016","AFC SUSHI @ WALMART #3652","755 RIVERPOINT DR","West Sacramento","CA",38.5924467,-121.5476734,"+19163732200"
"FA0012949","AFRIDI FOOD COMPANY","1250 CHURCHILL DOWNS AVE","Woodland","CA",38.698277,-121.761405,"+15306624298"
"FA0014560","AGGIE INN - FOOD","245 1ST ST","Davis","CA",38.5414744,-121.744423,"+15307560352"
"FA0001050","AGGIE LIQUOR","507 L ST","Davis","CA",38.5488106,-121.7345655,"+15307534441"
"FA0017313","AJ HUNDAL MART","2434 WEST CAPITOL AVE","West Sacramento","CA",38.5799383,-121.543483,"+19164320930"
"FA0017699","AJLOUN GAS & SHOP III","300 WEST ST","Woodland","CA",38.6785487,-121.7844773,"+15306619900"
"FA0001973","ALI BABA RESTAURANT","220 3RD ST","Davis","CA",38.543602,-121.7463309,"+15307582251"
"FA0015993","ALL SEASONS ALL REASONS FINE CATERING","2135 DALE AVE","Sacramento","CA",38.6050008,-121.4627398,"+19164519393"
"FA0014933","ALL STARS","102 MAIN ST","Woodland","CA",38.677209,-121.782263,"+15304021919"
"FA0002270","AM/PM MINI MARKET #5731- FOOD","805 REED AVE","West Sacramento","CA",38.59138,-121.5480631,""
"FA0016076","AMBROSIA FINE FOOD","882 EL CAMINO AVE","Sacramento","CA",38.6108486,-121.4467693,""
"FA0012414","ANDERSON FAMILY CATERING BBQ","160 W A ST","Dixon","CA",38.4455901,-121.8234132,"+15307954936"
"FA0009436","ANDERSON GAS & MINI MART - FOOD","1935 ANDERSON RD","Davis","CA",38.5603735,-121.7590191,"+15307589250"
"FA0002159","ANDERSON ROAD SHELL - FOOD","1944 ANDERSON RD","Davis","CA",38.5603166,-121.7580334,"+15307582900"
"FA0002192","ANDY'S ARCO - FOOD","313 W MAIN ST","Woodland","CA",38.6772399,-121.7983581,"+15306667959"
"FA0017430","ANTOJITOS Y MAS","1264 E GIBSON RD","Woodland","CA",38.6608717,-121.7627486,""
"FA0005488","APPLEBEE'S - DAVIS","1715 RESEARCH PARK DR","Davis","CA",38.541441,-121.732494,"+12165252775"
"FA0005596","APPLEBEE'S - WOODLAND","1790 E MAIN ST","Woodland","CA",38.6768379,-121.7392015,"+15306688282"
"FA0016676","ARCOIRIS","1620 W CAPITOL AVE","West Sacramento","CA",38.5806245,-121.5297954,"+19162936231"
"FA0001104","ARIANA FOOD MARKET","1638 W CAPITOL AVE","West Sacramento","CA",38.5806893,-121.5298453,"+19163758919"
"FA0001394","ARTEAGA'S SUPERMARKET INC","940 SACRAMENTO AVE","West Sacramento","CA",38.590215,-121.525425,"+19163724433"
"FA0016068","ASANTE CATERING","5580 POWER INN RD","Sacramento","CA",38.5258652,-121.4099631,"+19163878430"
"FA0001628","AY! JALISCO TAQUERIA #1","966 SACRAMENTO AVE","West Sacramento","CA",38.5893076,-121.5245904,"+19163723432"
"FA0016363","BAMBU DAVIS","213 E ST","Davis","CA",38.5436287,-121.7415,"+15302315261"
"FA0015204","BANGKOK CUISINE","525 MAIN ST","Woodland","CA",38.6778126,-121.7738043,"+15306689788"
"FA0015208","BARAJAS DELI","825 EAST ST","Woodland","CA",38.6691554,-121.7645846,"+15304021601"
"FA0011391","BARISTA BREW","431 G ST","Davis","CA",38.5471833,-121.7402678,"+19167103561"
"FA0001306","BASKIN-ROBBINS - DAVIS  #191","236 E ST","Davis","CA",38.5442196,-121.7411828,"+15307565201"
"FA0001097","BASKIN-ROBBINS - WOODLAND","91 W COURT ST","Woodland","CA",38.6786432,-121.7880962,"+15306620197"
"FA0006008","BASSI SHELL - FOOD","400 MACE BLVD","Davis","CA",38.5503263,-121.6938855,""
"FA0014141","BATEMAN SENIOR MEALS","849 F ST","West Sacramento","CA",38.5843589,-121.520757,"+19163717340"
"FA0012479","BEACH HUT DELI","767 IKEA CT","West Sacramento","CA",38.5894296,-121.5506059,"+19163769110"
"FA0016040","BEACH HUT DELI","4515 FERMI PL","Davis","CA",38.553408,-121.6975102,"+15307561601"
"FA0002087","BEAMER ELEMENTARY SCHOOL","525 BEAMER ST","Woodland","CA",38.685329,-121.773475,"+15304065956"
"FA0002953","BEL AIR #526","1885 E GIBSON RD","Woodland","CA",38.6639722,-121.7397297,"+15306684422"
"FA0001402","BEREZKA MARKET","958 SACRAMENTO AVE","West Sacramento","CA",38.5892894,-121.5244326,"+19163748834"
"FA0003533","BERRYESSA SPORTING GOODS/MINI MART","115 E GRANT AVE","Winters","CA",38.5272,-121.9658942,"+15307953214"
"FA0014562","BEST WESTERN UNIVERSITY - FOOD","123 B ST","Davis","CA",38.5423828,-121.7446001,"+15307567890"
"FA0006229","BIG KAHUNA YOGURT","2155 TOWN CENTER PLZ","West Sacramento","CA",38.5505862,-121.5386539,"+19168342880"
"FA0013964","BIG KAHUNA YOGURT","1861 E GIBSON RD","Woodland","CA",38.6642414,-121.7403809,"+19168342880"
"FA0015393","BIG KAHUNA YOGURT","779 IKEA CT","West Sacramento","CA",38.5901143,-121.549409,""
"FA0001880","BIG LOTS #1934","52 W COURT ST","Woodland","CA",38.6788776,-121.7864345,"+15304061520"
"FA0003178","BIG LOTS #4394","1270 W CAPITOL AVE","West Sacramento","CA",38.5819915,-121.5246819,"+19163730367"
"FA0001261","BIRCH LANE ELEM","1600 BIRCH LN","Davis","CA",38.56065,-121.726378,"+15307575395"
"FA0006360","BISTRO 33","226 F ST","Davis","CA",38.5444118,-121.7398657,""
"FA0003767","BK FOODMART 76 STORE","2801 EVERGREEN AVE","West Sacramento","CA",38.5766558,-121.547983,"+19163730877"
"FA0016937","BLACK BEAR DINER","1530 E MAIN ST","Woodland","CA",38.6767703,-121.7498724,""
"FA0002020","BLACK BEAR DINER","255 2ND ST","Davis","CA",38.542806,-121.744673,""
"FA0014391","BLACK DRAGON BREWERY","175 W MAIN ST","Woodland","CA",38.6772756,-121.7924222,"+15309082290"
"FA0016639","BLACKPINE CATERING & EVENTS","420-422 1ST ST","Woodland","CA",38.6768519,-121.773412,"+15303095806"
"FA0016954","BLACKPINE CATERING & EVENTS","420-422 1ST ST","Woodland","CA",38.6768519,-121.773412,"+15306611845"
"FA0016588","BLAZE PIZZA","212 F ST","Davis","CA",38.5439352,-121.7398049,"+15307462155"
"FA0017513","BLONDIE'S NY PIZZA CO","330 G ST","Davis","CA",38.5458797,-121.73917,"+17075921442"
"FA0001089","BOB'S LIQUOR -WOODLAND","632 COTTONWOOD ST","Woodland","CA",38.6725466,-121.7933723,"+15306664705"
"FA0016305","BOGLE VINEYARDS TASTING ROOM","37783 CR 144","Clarksburg","CA",38.3889525,-121.5414388,"+19167441092"
"FA0017790","BON MANGE","130 G ST","Davis","CA",38.5434936,-121.7386109,"+12094064809"
"FA0001102","BRANIGAN'S  TURKEY FARM","39621 CR 24A","Woodland","CA",38.6631597,-121.8030058,"+15306624205"
"FA0002118","BRIDGEVIEW MARKET","330 3RD ST","West Sacramento","CA",38.587591,-121.5106074,"+12096026033"
"FA0010242","BRODERICK ROADHOUSE","319 6TH ST","West Sacramento","CA",38.5882099,-121.5140543,"+19162960011"
"FA0010290","BROWN'S CORNER BAR & GRILL","392 W MAIN ST","Woodland","CA",38.6776797,-121.8021905,"+15306621100"
"FA0001746","BRYTE MEMORIAL POST","1708 LISBON AVE","West Sacramento","CA",38.594412,-121.543855,"+19163719777"
"FA0001342","BRYTE WAY MARKET","1552 LISBON AVE","West Sacramento","CA",38.5950623,-121.5409881,"+19169175071"
"FA0009160","BUCKHORN","111 MAIN ST","Winters","CA",38.5213635,-121.9712979,"+15307954503"
"FA0001731","BUCKHORN BAR & CAFE","210 RAILROAD AVE","Winters","CA",38.521524,-121.968919,"+15307954503"
"FA0015838","BUFFALO'S PIZZA","1600 SACRAMENTO AVE","West Sacramento","CA",38.5912768,-121.5394262,"+19163760930"
"FA0006923","BURGER KING #15705","1830 E MAIN ST","Woodland","CA",38.6768497,-121.7362041,"+15304061117"
"FA0012556","BURGER KING #17484","2026 LYNDELL TR","Davis","CA",38.5620447,-121.7691312,"+15302975700"
"FA0013237","BURGER KING #17709","251 W MAIN ST","Woodland","CA",38.6772115,-121.7966328,"+15103782940"
"FA0013439","BURGER KING #17721","763 IKEA CT","West Sacramento","CA",38.5896314,-121.5510354,""
"FA0014480","BURGER KING RESTAURANT #18516","701 MATSUMOTO LN","Winters","CA",38.5249065,-121.9708017,"+15307950700"
"FA0009765","BURGERS &  BREW","403 3RD ST","Davis","CA",38.5444017,-121.7434716,"+15307502400"
"FA0005990","BUTCHER SHOP","518 GLIDE AVE","West Sacramento","CA",38.583113,-121.5441878,""
"FA0016005","C. R. E. A. M","110 F STE A ST","Davis","CA",38.5409199,-121.7462526,""
"FA0000173","CACHE CANYON RIVER TRIPS","3038 RD 41","Rumsey","CA",38.893417,-122.240434,"+15307963091"
"FA0002179","CACHE CREEK HIGH SCHOOL","2ND & CLAY ST","Yolo","CA",38.732011,-121.8075727,"+15306624331"
"FA0017109","CAFE 110","110 F ST","Davis","CA",38.5427087,-121.7392547,""
"FA0002712","CAFE BERNARDO","234 D ST","Davis","CA",38.5441745,-121.7421188,"+15307505101"
"FA0001184","CAFE LA BOU","849 JEFFERSON BLVD","West Sacramento","CA",38.5796017,-121.5258953,"+19163750910"
"FA0001514","CAFFE ITALIA","1121 RICHARDS BLVD","Davis","CA",38.5399974,-121.7379482,"+15307587200"
"FA0010706","CAMPOS DR - ESPARTO CSD","CAMPOS DR","Esparto","CA",38.6955022,-122.0257414,""
"FA0004627","CANDY HOUSE OF DAVIS","901 3RD ST","Davis","CA",38.5456762,-121.7379358,"+15307583652"
"FA0001871","CANYON CREEK RESORT","22074 HWY 128","Winters","CA",38.5152097,-122.0941662,"+15307954133"
"FA0001229","CAPAY JUNCTION","25051 MAIN ST","Capay","CA",38.706853,-122.047804,"+15307962440"
