"business_id","name","address","city","state","postal_code","latitude","longitude"
1,"100 BLACK MEN OF THE BAY AREA COMMU","3400 MALCOM AVE","Oakland","CA","94605",37.74703413,-122.14003086
2,"101 FISH & CHIPS","36700 CEDAR BLVD","Newark","CA","94560",37.54391888,-122.0285724
3,"101 TEA PLANTATION","46859 WARM SPRINGS BLVD","Fremont","CA","94539",37.48493139,-121.92666924
4,"10TH AND WOOD","945 WOOD ST","Oakland","CA","94607",37.80952634,-122.30083905
5,"10TH & WOOD","945 WOOD ST","Oakland","CA","94607",37.8095313,-122.30085225
6,"1/3 LB GIANT BURGER","33592 ALVARADO NILES RD","Union City","CA","94587",37.59339716,-122.04375044
7,"1400 BAR & GRILL","1400 WEBSTER ST","Alameda","CA","94501",37.77199309,-122.27684057
8,"1/4 LB GIANT BURGER 3","2055 MACARTHUR BLVD","Oakland","CA","94602",37.80075703,-122.21780662
9,"1/4 LB GIANT BURGER","4215 MACARTHUR BLVD","Oakland","CA","94619",37.78911202,-122.19642983
10,"1/4 LB GIANT BURGER","5325 SAN PABLO AVE","Oakland","CA","94608",37.83807708,-122.28215656
11,"1/4 LB GIANT BURGER","8026 INTERNATIONAL BLVD","Oakland","CA","94621",37.75621545,-122.18075266
12,"1/4 LB GIANT BURGER, #9","2150 TELEGRAPH AVE","Oakland","CA","94612",37.81033276,-122.26937435
13,"16 DE SEP TAQUERIA","3438 INTERNATIONAL BLVD","Oakland","CA","94601",0,0
14,"1812 COFFEE CO.","2224 MACARTHUR BLVD","Oakland","CA","94602",37.8003541,-122.21610074
15,"19TH STREET STATION","339 19TH ST","Oakland","CA","94612",37.80677554,-122.26650427
16,"#1 ASIAN EXPRESS FOOD","138 14TH ST","Oakland","CA","94612",37.80140803,-122.26369831
17,"#1 SEAFOOD AND CHICKEN","4014 MACARTHUR BLVD","Oakland","CA","94619",37.78968061,-122.19690846
18,"1ST TREAT YOGURT CORP","2127 FIRST ST","Livermore","CA","94550",37.68135717,-121.7696282
19,"200 UVA LLC","200 2ND ST","Oakland","CA","94607",37.7937564,-122.27044449
20,"2101 CLUB","2101 MACARTHUR BLVD","Oakland","CA","94602",37.8006729,-122.21747797
21,"216 BEER - UPPER CONCOURSE","7000 COLISEUM WAY","Oakland","CA","94621",37.7515822,-122.20616593
22,"217 BEER- UPPER CONCOURSE","7000 COLISEUM WAY","Oakland","CA","94621",37.7515822,-122.20616593
23,"2212 WINE BAR","2212 BROADWAY","Oakland","CA","94612",37.81126267,-122.26684277
24,"24-7 GAS & FOOD MART","8930 BANCROFT AVE","Oakland","CA","94605",37.75439838,-122.16613643
25,"24 HOUR FITNESS #271","35630 FREMONT BLVD","Fremont","CA","94536",37.56783044,-122.02629011
26,"24 HOUR FITNESS #272","567 FLORESTA AVE","San Leandro","CA","94578",37.70164581,-122.14271338
27,"24 HOUR FITNESS","4500 AUTO MALL DR","Fremont","CA","94538",37.51042369,-121.95834111
28,"24 HOUR FITNESS #488","2480 WHIPPLE RD","Hayward","CA","94544",37.60679521,-122.06290865
29,"24 HOUR FITNESS #802","3950 ALAMEDA AVE","Oakland","CA","94601",37.76817848,-122.22476317
30,"24 HOUR FITNESS #836","4770 WILLOW RD","Pleasanton","CA","94588",37.69807193,-121.89878164
31,"24 HOUR FITNESS #895","2650 KITTY HAWK RD","Livermore","CA","94551",37.70036421,-121.80861539
32,"24 HOUR OPTCC","3500 E 9TH ST","Oakland","CA","94601",37.77246799,-122.2250561
33,"24 HR FITNESS #501","304 BAYFAIR MALL","San Leandro","CA","94578",0,0
34,"24 HR FITNESS #532","2050 WEBSTER ST","Oakland","CA","94612",37.80885486,-122.26606382
35,"24 HR FITNESS #536","24727 AMADOR ST","Hayward","CA","94544",0,0
36,"24 HR FITNESS CLUB #546","5234 NEWPARK MALL","Newark","CA","94560",37.5262509,-122.00529202
37,"24 HR FITNESS FREMONT CLUB #543","39300 PASEO PADRE PKWY","Fremont","CA","94538",37.55272112,-121.97941332
38,"27TH DISCOUNT MARKET","2627 MARTIN LUTHER KING JR WAY","Oakland","CA","94612",37.81691724,-122.27194567
39,"3000 BROADWAY RESTAURANT BAR&LOUNGE","3000 BROADWAY","Oakland","CA","94611",37.81941306,-122.26174258
40,"355","355 19TH ST","Oakland","CA","94612",37.80685693,-122.26671188
41,"360 BAKERY & CAFE","46529 MISSION BLVD","Fremont","CA","94539",37.49185878,-121.92699344
