"business_id","name","address","date","last_updated","city","state","latitude","longitude","Major_Violation_Improper_Holding_Temperature","Minor_Violation_Improper_Holding_Temperature","Major_Violation_Inadequate_Cooking","Minor_Violation_Inadequate_Cooking","Major_Violation_Personal_Hygiene","Minor_Violation_Personal_Hygiene","Major_Violation_Contaminated_Equipment","Minor_Violation_Contaminated_Equipment","Major_Violation_Unsafe_Food_Source","Minor_Violation_Unsafe_Food_Source"
"FA0000670","KIRALA 2","1511-D SHATTUCK AVE","01/07/2016","05/16/2016 05:00:02 AM","Berkeley","CA","37.879781","-122.269181",0,0,0,0,0,0,0,0,0,0
"FA0000300","ESPRESSO ROMA/C'EST CAF�","2490 BANCROFT WY","01/10/2014","05/16/2016 05:00:02 AM","Berkeley","CA","37.868697","-122.259321",0,0,0,0,0,0,0,0,0,0
"FA0001592","LITTLE GEM BELGIAN WAFFLES","2468-A TELEGRAPH AVE","11/23/2015","05/16/2016 05:00:03 AM","Berkeley","CA","37.865706","-122.258559",0,0,0,0,0,0,0,0,0,0
"FA0000514","INT'L SOCIETY FOR KRISHNA","2334 STUART ST","08/24/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.859388","-122.260372",0,0,0,0,0,0,0,0,0,0
"FA0000073","SOL Y LUNA","1926 SHATTUCK AVE","02/25/2016","05/16/2016 05:00:02 AM","Berkeley","CA","37.87335","-122.268574",0,0,0,0,0,0,0,0,0,0
"FA0001541","MELOMELO KAVA BAR","1701 UNIVERSITY AVE","11/18/2015","05/16/2016 05:00:03 AM","Berkeley","CA","37.871072","-122.277225",0,0,0,0,0,0,0,0,0,0
"FA0001557","HIGHWIRE COFFEE ROASTERS","2049 SAN PABLO AVE","03/29/2016","05/16/2016 05:00:03 AM","Berkeley","CA","37.868619","-122.291899",0,0,0,0,0,0,0,0,0,0
"FA0000474","HONG DU UNOCAL","901 ASHBY AVE","03/27/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.851128","-122.290812",0,0,0,0,0,0,0,0,0,0
"FA0001260","SUBWAY #46673","2929 9TH ST","12/19/2014","05/16/2016 05:00:03 AM","Berkeley","CA","37.851837","-122.289453",0,0,0,0,0,0,0,0,0,0
"FA0001295","RELISH CATERING","2701 8TH ST","05/09/2014","05/16/2016 05:00:03 AM","Berkeley","CA","37.856884","-122.291822",0,0,0,0,0,0,0,0,0,0
"FA0000596","BERKELEY ESPRESSO","1900 SHATTUCK AVE","09/01/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.873687","-122.268616",0,0,0,0,0,0,0,0,0,0
"FA0000074","THAI NOODLE","1936 SHATTUCK AVE","10/27/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.873227","-122.268562",0,1,0,0,0,0,0,1,0,0
"FA0000775","SWEET LEAF","2468 TELEGRAPH AVE","05/11/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.865706","-122.258559",0,0,0,0,0,0,0,0,0,0
"FA0000118","DA LIAN RESTAURANT","1674 SHATTUCK AVE","02/23/2016","05/16/2016 05:00:02 AM","Berkeley","CA","37.877056","-122.269009",0,1,0,0,0,0,0,1,0,0
"FA0000661","CAFFE TRIESTE","2500 SAN PABLO AVE SW","12/02/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.861078","-122.289632",0,0,0,0,0,0,0,0,0,0
"FA0000035","FREIGHT & SALVAGE COFFEE HOUSE","2020 ADDISON ST","09/15/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.870994","-122.269645",0,0,0,0,0,0,0,0,0,0
"FA0001601","BERKELEY SPORTSMAN CENTER","225 UNIVERSITY AVE","12/07/2015","05/16/2016 05:00:03 AM","Berkeley","CA","37.865451","-122.310259",0,0,0,0,0,0,0,0,0,0
"FA0000607","SUBWAY","1101 UNIVERSITY AVE","08/13/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.869197","-122.291765",0,0,0,0,0,0,0,0,0,0
"FA0000539","7-ELEVEN #16192  1099/1615","2887 COLLEGE AVE","01/02/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.858756","-122.253219",0,0,0,0,0,0,0,0,0,0
"FA0001009","TROY","2985 COLLEGE AVE","03/20/2015","05/16/2016 05:00:03 AM","Berkeley","CA","37.856469","-122.252992",0,0,0,0,0,0,0,0,0,0
"FA0000779","CAMPUS MINI MART  1099/1615","2200 DURANT AVE","03/21/2016","05/16/2016 05:00:02 AM","Berkeley","CA","37.866969","-122.26553",0,0,0,0,0,0,0,0,0,0
"FA0000328","SATURN CAFE","2175 ALLSTON WY","08/05/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.86961","-122.266328",0,1,0,0,0,0,0,1,0,0
"FA0000218","SOLANO 76  1099/1614","1830 SOLANO AVE","09/22/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.891387","-122.278913",0,0,0,0,0,0,0,0,0,0
"FA0001438","DOUBLETREE CAFE","200 MARINA BLVD","01/13/2016","05/16/2016 05:00:03 AM","Berkeley","CA","37.868667","-122.313656",0,0,0,0,0,0,0,0,0,0
"FA0000436","CAFE NEFELI","1854 EUCLID AVE","11/30/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.875666","-122.260259",0,0,0,0,0,0,0,0,0,0
