"business_id","date","description"
"FA0000099","20160107","Premises personal/cleaning items vermin-proofing"
"FA0000099","20150617","Plumbing proper backflow devices"
"FA0000099","20150617","Floors, walls and ceilings: built, maintained, and clean"
"FA0000099","20150617","Nonfood-contact surfaces clean"
"FA0000099","20141216","Toxic substances properly identified, stored, used"
"FA0000099","20140521","Premises personal/cleaning items vermin-proofing"
"FA0000099","20131028","Premises personal/cleaning items vermin-proofing"
"FA0000099","20121113","Hot and cold water available"
"FA0000099","20121113","Signs posted last inspection report available"
"FA0000130","20160413","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0000130","20160413","Wiping cloths: properly used and stored"
"FA0000130","20150813","Proper hot and cold holding temperatures"
"FA0000130","20150813","Thermometers provided and accurate"
"FA0000130","20150115","Hot and cold water available"
"FA0000130","20150115","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0000130","20150115","Warewashing facilities: installed, maintained, used; test strips"
"FA0000130","20150115","Demonstration of knowledge food manager certification"
"FA0000130","20131004","Wiping cloths: properly used and stored"
"FA0000130","20111006","Wiping cloths: properly used and stored"
"FA0000130","20110126","Proper hot and cold holding temperatures"
"FA0000130","20100716","Proper hot and cold holding temperatures"
"FA0000130","20100716","Wiping cloths: properly used and stored"
"FA0000130","20100716","Floors, walls and ceilings: built, maintained, and"
"FA0000130","20081209","Floors, walls and ceilings: built, maintained, and"
"FA0000172","20160405","Food contact surfaces: clean and sanitized"
"FA0000172","20160405","Floors, walls and ceilings: built, maintained, and clean"
"FA0000172","20150226","Floors, walls and ceilings: built, maintained, and clean"
"FA0000172","20150226","Proper hot and cold holding temperatures"
"FA0000172","20140213","Premises personal/cleaning items vermin-proofing"
"FA0000172","20130214","Adequate ventilation and lighting designated area"
"FA0000172","20110211","Warewashing facilities: installed, maintained, use"
"FA0000172","20110211","Equipment/Utensils - approved installed clean g"
"FA0000172","20091029","Food storage food storage containers identified"
"FA0000172","20091029","Floors, walls and ceilings: built, maintained, and"
"FA0000172","20091029","Garbage and refuse properly disposed facilities m"
"FA0000172","20091029","Person in charge present and performs duties"
